,X,article.id,Keep,timestamp,coder,journal,year,jpsp.section,first.author,affiliation,specialization,citation,type,citations.number,study.number,sample.size,excluded.participants,expcor,design,conditions.number,predictors.number,dv.number,which.statistical.test,copied.statistic,df.numerator,df.denominator,test.statistic,p.exact,p.exact.value,drop.column,null.predicted,sigtests.number.reported,sigtests.number.significant,total.num.studies,effect.size.reported,effect.size,footnotes.number,additional.analyses,covariates.number,coding.difficulty,comments
375,375,129,1,7/11/2015 19:46,Coder11,Psych Science,2013,,Van der Burg,Vrije Universiteit Amsterdam,Cognitive,"Van der Burg, E., Awh, E., & Olivers, C. N. (2013). The capacity of audiovisual integration is limited to one item. Psychological science, 24(3), 345-351.","Original Research (i.e., any study with data that is NOT a meta-analysis)",8,5,16,0,"Experimental (i.e., all IVs were manipulated)",Within,0,2,1,ANOVA (F)," F(7, 105) = 7.1, p < .001",7,105,7.1,No,,,No,5,4,5,0,NA,0,No,0,Very Easy,
634,634,308,1,7/22/2015 15:26,Coder11,JESP,2003,,"Vaughn, L. A.",Ohio State University,Social / Personality,"Vaughn, L. A., & Weary, G. (2003). Causal uncertainty and correction of judgments. Journal of Experimental Social Psychology, 39(5), 516-524.","Original Research (i.e., any study with data that is NOT a meta-analysis)",23,1,29,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,3,t-test (t),"t(28) = 7.34, p < .001",,28,7.34,No,,,"It's complicated (if you select this, explain)",4,2,4,0,,0,No,0,Very Easy,99!! Pilot study
635,635,308,1,7/22/2015 15:32,Coder11,JESP,2003,,"Vaughn, L. A.",Ohio State University,Social / Personality,"Vaughn, L. A., & Weary, G. (2003). Causal uncertainty and correction of judgments. Journal of Experimental Social Psychology, 39(5), 516-524.","Original Research (i.e., any study with data that is NOT a meta-analysis)",23,2,37,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,4,t-test (t),"t(36) = 3.45, p = .001",,36,3.45,No,0.001,,No,16,1,4,0,,0,No,0,Moderately Easy,99!! Pilot study
637,637,308,1,7/22/2015 15:41,Coder11,JESP,2003,,"Vaughn, L. A.",Ohio State University,Social / Personality,"Vaughn, L. A., & Weary, G. (2003). Causal uncertainty and correction of judgments. Journal of Experimental Social Psychology, 39(5), 516-524.","Original Research (i.e., any study with data that is NOT a meta-analysis)",23,3,195,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,2,3,1,Multiple Regression (t -- for individual predictor)," t = 2.43, p = .01",,,2.43,Yes,0.01,,No,5,3,4,0,,0,No,0,Moderately Easy,Used a manipulation citing Stapel et al. (1998)
640,640,308,1,7/22/2015 15:47,Coder11,JESP,2003,,"Vaughn, L. A.",Ohio State University,Social / Personality,"Vaughn, L. A., & Weary, G. (2003). Causal uncertainty and correction of judgments. Journal of Experimental Social Psychology, 39(5), 516-524.","Original Research (i.e., any study with data that is NOT a meta-analysis)",23,4,73,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,2,3,5,Multiple Regression (t -- for individual predictor),"t = 2.98, p = .004 ",,,2.98,Yes,0.004,,No,24,18,4,0,,0,No,0,Moderately Easy,
681,681,359,1,7/24/2015 14:04,Coder11,JPSP,2003,Interpersonal Relations and Group Processes,"Vescio, T. K.",Pennsylvania State University,Social / Personality,"Vescio, T. K., Snyder, M., & Butz, D. A. (2003). Power in stereotypically masculine domains: a Social Influence Strategy X Stereotype Match model. Journal of personality and social psychology, 85(6), 1062.","Original Research (i.e., any study with data that is NOT a meta-analysis)",103,1,53,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Mixed,4,4,4,ANOVA (F)," F(1, 49) = 11.58, p < .01",1,49,11.58,No,,,No,15,9,2,0,,1,No,0,Moderately Easy,
684,684,359,1,7/24/2015 14:29,Coder11,JPSP,2003,Interpersonal Relations and Group Processes,"Vescio, T. K.",Pennsylvania State University,Social / Personality,"Vescio, T. K., Snyder, M., & Butz, D. A. (2003). Power in stereotypically masculine domains: a Social Influence Strategy X Stereotype Match model. Journal of personality and social psychology, 85(6), 1062.","Original Research (i.e., any study with data that is NOT a meta-analysis)",102,2,400,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Mixed,4,5,23,ANOVA (F),"F(1, 72) = 7.54, p < .01",1,72,7.54,No,,,No,244,105,2,0,,4,No,0,Slightly Difficult,"99!! Aggregated multiple significance tests into a single report, and occasionally the report left it open as to how many of the analyses were actually below .05. For example, there were many ""...all F's <(>) .nn..."" and some that read something like ""...all F's < .06..."""
428,428,182,1,7/15/2015 13:02,Coder11,PSPB,2003,,"Vohs, K. D.",University of British Colombia,Social / Personality,"Vohs, K. D., & Heatherton, T. F. (2003). The effects of self-esteem and ego threat on interpersonal appraisals of men and women: A naturalistic study. Personality and Social Psychology Bulletin, 29(11), 1407-1420.","Original Research (i.e., any study with data that is NOT a meta-analysis)",16,1,372,0,"Correlational (i.e., IVs were measured and not manipulated)",,0,3,4,Multiple Regression (t -- for individual predictor)," t(363) = 2.54, p = .01",,363,2.54,Yes,0.01,,No,75,24,1,0,NA,0,No,1,Slightly Difficult,"The sample size was actually the number of observations coded, and not the number of participants. Some of the observations were from the same participant and are therefore non-independent. "
631,631,303,1,7/22/2015 15:16,Coder11,Psych Science,2014,,"Waters, S. F.","University of California, San Francisco",Social / Personality,"Waters, S. F., West, T. V., & Mendes, W. B. (2014). Stress Contagion Physiological Covariation Between Mothers and Infants. Psychological science, 25(4), 934-942.","Original Research (i.e., any study with data that is NOT a meta-analysis)",4,1,69,8,"Experimental (i.e., all IVs were manipulated)",Between,3,1,4,ANOVA (F),"F(2, 58) = 5.35, p =  .007",2,58,5.35,Yes,0.007,,No,27,16,1,0,,2,Yes,0,Moderately Easy,
612,612,290,1,7/22/2015 13:54,Coder11,JESP,2003,,"Webster, G. D.",College of William & Mary,Social / Personality,"Webster, G. D. (2003). Prosocial behavior in families: Moderators of resource sharing. Journal of Experimental Social Psychology, 39(6), 644-652.","Original Research (i.e., any study with data that is NOT a meta-analysis)",30,1,177,4,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,3,9,1,multilevel random coefficient model,99!! t = 2.14,,,99!! 2.14,No,,,No,30,12,1,0,,0,No,0,Neither Difficult nor Easy,99!! Used multilevel modeling.
726,726,133,1,7/29/2015 11:30,Coder11,JPSP,2013,Attitudes and Social Cognition,"Williams, E. F.","University of California, San Diego",Social / Personality,"Williams, E. F., Dunning, D., & Kruger, J. (2013). The hobgoblin of consistency: Algorithmic judgment strategies underlie inflated self-assessments of performance. Journal of personality and social psychology, 104(6), 976.","Original Research (i.e., any study with data that is NOT a meta-analysis)",6,1,140,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,2,Basic Correlation (r),"r = .30, p < .05",,,0.3,No,,,,29,24,6,0,,0,No,0,Very Difficult,99!! The authors collapsed across 6 studies when reporting their results in text and only reported some test statistics for each study in tables. My confidence in my accurate depiction of what the authors actually did is very low.
738,738,133,1,7/29/2015 12:29,Coder11,JPSP,2013,Attitudes and Social Cognition,"Williams, E. F.","University of California, San Diego",Social / Personality,"Williams, E. F., Dunning, D., & Kruger, J. (2013). The hobgoblin of consistency: Algorithmic judgment strategies underlie inflated self-assessments of performance. Journal of personality and social psychology, 104(6), 976.","Original Research (i.e., any study with data that is NOT a meta-analysis)",6,2,102,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,5,t-test (t),"t = -.25, p > .10",,,-0.25,No,,,"It's complicated (if you select this, explain)",36,21,6,0,,0,No,0,Very Difficult,99!! All 6 of the studies for this paper will have the same note: The authors reported the results from across all 6 studies in text and only reported some test statistics by study in tables. I am not confident in my accuracy of describing what the authors actually did.
740,740,133,1,7/29/2015 12:43,Coder11,JPSP,2013,Attitudes and Social Cognition,"Williams, E. F.","University of California, San Diego",Social / Personality,"Williams, E. F., Dunning, D., & Kruger, J. (2013). The hobgoblin of consistency: Algorithmic judgment strategies underlie inflated self-assessments of performance. Journal of personality and social psychology, 104(6), 976.","Original Research (i.e., any study with data that is NOT a meta-analysis)",6,3,102,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,6,Multiple Regression (t -- for individual predictor),"β = 0.86, p < .05",,,0.86,No,,,No,31,18,6,0,,28,No,1,Very Difficult,"The authors reported all results from all 6 studies in text as an aggregate (e.g., ""All t's <.05""). Poor reporting of test statistics. I'm not confident in my reporting of their reporting."
743,743,133,1,7/29/2015 13:04,Coder11,JPSP,2013,Attitudes and Social Cognition,"Williams, E. F.","University of California, San Diego",Social / Personality,"Williams, E. F., Dunning, D., & Kruger, J. (2013). The hobgoblin of consistency: Algorithmic judgment strategies underlie inflated self-assessments of performance. Journal of personality and social psychology, 104(6), 976.","Original Research (i.e., any study with data that is NOT a meta-analysis)",6,4,122,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,11,t-test (t),"t = 2.77, p < .05",,,2.77,No,,,No,58,39,6,0,,0,No,0,Very Difficult,"I have little confidence in my reporting of the authors' reports. All 6 studies' test statistics were aggregated in text (e.g., ""All p's < .05"")"
746,746,133,1,7/29/2015 13:20,Coder11,JPSP,2013,Attitudes and Social Cognition,"Williams, E. F.","University of California, San Diego",Social / Personality,"Williams, E. F., Dunning, D., & Kruger, J. (2013). The hobgoblin of consistency: Algorithmic judgment strategies underlie inflated self-assessments of performance. Journal of personality and social psychology, 104(6), 976.","Original Research (i.e., any study with data that is NOT a meta-analysis)",6,5,137,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,2,1,8,t-test (t),"t(135) = 2.93, p < .05",,135,2.93,No,,,No,53,40,6,0,,0,No,0,Very Difficult,Test statistics from all 6 studies were aggregated in the text. I have low confidence in my accuracy on all studies in this paper.
747,747,133,1,7/29/2015 13:25,Coder11,JPSP,2013,Attitudes and Social Cognition,"Williams, E. F.","University of California, San Diego",Social / Personality,"Williams, E. F., Dunning, D., & Kruger, J. (2013). The hobgoblin of consistency: Algorithmic judgment strategies underlie inflated self-assessments of performance. Journal of personality and social psychology, 104(6), 976.","Original Research (i.e., any study with data that is NOT a meta-analysis)",6,6,80,5,"Correlational (i.e., IVs were measured and not manipulated)",,1,2,7,Basic Correlation (r),"r = -.53, p < .05",,,-0.53,No,,,No,49,33,6,0,,0,No,0,Very Difficult,The results of all 6 studies are aggregated in text. I am not confident in my coding of all 6 studies.
470,470,232,1,7/15/2015 20:10,Coder11,JESP,2004,,"Winquist, J. R.",Valpraiso University,Social / Personality,"Winquist, J. R., & Larson Jr, J. R. (2004). Sources of the discontinuity effect: Playing against a group versus being in a group. Journal of Experimental Social Psychology, 40(5), 675-682.","Original Research (i.e., any study with data that is NOT a meta-analysis)",13,1,160,0,"Experimental (i.e., all IVs were manipulated)",Between,4,3,4,ANOVA (F),"F (1, 72) = 6.94, p < .01",1,72,6.94,No,,,No,40,25,1,1,Cohen's d = .58,0,No,0,Moderately Easy,
1149,1149,561,1,8/7/2015 14:05,Coder11,Psych Science,2014,,"Wood, J. N.",University of Southern California,Cognitive,"Wood, J. N. (2014). Newly hatched chicks solve the visual binding problem. Psychological science, 0956797614528955.","Original Research (i.e., any study with data that is NOT a meta-analysis)",3,1,10,0,"Experimental (i.e., all IVs were manipulated)",Mixed,2,3,1,Heirarchical Bayesian Analysis,99!!,,99!!,99!!,NA,,,No,99!!,99!!,1,0,,0,No,0,Neither Difficult nor Easy,99!! Used heirarchical bayesian analyses. 
894,894,434,1,8/5/2015 12:06,Coder11,JESP,2013,,"Yap, A. J.",Colombia University,Social / Personality,"Yap, A. J., Mason, M. F., & Ames, D. R. (2013). The powerful size others down: The link between power and estimates of others' size. Journal of Experimental Social Psychology, 49(3), 591-594.","Original Research (i.e., any study with data that is NOT a meta-analysis)",20,1,85,0,"Experimental (i.e., all IVs were manipulated)",Between,2,1,1,ANOVA (F)," F(1, 83) = 7.3, p < .01",1,83,7.3,No,,,No,2,2,2,1,r = .28,0,No,0,Very Easy,
895,895,434,1,8/5/2015 12:09,Coder11,JESP,2013,,"Yap, A. J.",Colombia University,Social / Personality,"Yap, A. J., Mason, M. F., & Ames, D. R. (2013). The powerful size others down: The link between power and estimates of others' size. Journal of Experimental Social Psychology, 49(3), 591-594.","Original Research (i.e., any study with data that is NOT a meta-analysis)",20,2,32,0,"Experimental (i.e., all IVs were manipulated)",Between,2,1,1,ANOVA (F),"F(1, 30) = 6.55, p < .02",1,30,6.55,No,,,No,2,2,2,1,r = .41,0,No,0,Very Easy,
1415,1415,693,1,8/10/2015 19:15,Coder11,Psych Science,2004,,"Zhou, F.",Brandeis University,Cognitive,"Zhou, F., Kahana, M. J., & Sekuler, R. (2004). Short-Term Episodic Memory for Visual Textures A Roving Probe Gathers Some Memory. Psychological Science, 15(2), 112-118.","Original Research (i.e., any study with data that is NOT a meta-analysis)",42,1,10,0,"Experimental (i.e., all IVs were manipulated)",Between,0,1,2,Chi Square (X),99!!,,,513.78,No,,,"It's complicated (if you select this, explain)",2,1,1,0,,1,No,0,Neither Difficult nor Easy,"99!! The primary and only analysis of importance was fitting a model to empirical data. Thus, if their hypotheses are correct or accurate, their model parameters should result in a model nonsignificantly different from the empirical data."
1717,1717,703,1,8/13/2015 16:41,Coder10,JESP,2013,,Agroskin,University of Salzburg,Social / Personality,"Agroskin, D., & Jonas, E. (2013). Controlling death by defending ingroups—Mediational insights into terror management and control restoration. Journal of Experimental Social Psychology, 49(6), 1144-1158.","Original Research (i.e., any study with data that is NOT a meta-analysis)",4,1,116,0,"Correlational (i.e., IVs were measured and not manipulated)",Between,2,2,2,Multiple Regression (t -- for individual predictor),"t(110) = −2.39, p < .05,",,110,-2.39,No,,,No,9,4,3,0,NA,5,No,0,Neither Difficult nor Easy,
1718,1718,703,1,8/13/2015 16:56,Coder10,JESP,2013,,Agroskin,University of Salzburg,Social / Personality,"Agroskin, D., & Jonas, E. (2013). Controlling death by defending ingroups—Mediational insights into terror management and control restoration. Journal of Experimental Social Psychology, 49(6), 1144-1158.","Original Research (i.e., any study with data that is NOT a meta-analysis)",4,2,87,14,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,3,6,4,Mediation,99!,,99!,99!,NA,,,No,15,10,3,0,NA,3,No,0,Neither Difficult nor Easy,Mediation analysis tests their key prediction
1720,1720,703,1,8/13/2015 17:06,Coder10,JESP,2013,,Agroskin,University of Salzburg,Social / Personality,"Agroskin, D., & Jonas, E. (2013). Controlling death by defending ingroups—Mediational insights into terror management and control restoration. Journal of Experimental Social Psychology, 49(6), 1144-1158.","Original Research (i.e., any study with data that is NOT a meta-analysis)",4,3,144,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,4,3,5,Mediation,99!,,99!,99!,NA,,,No,33,10,3,0,NA,5,No,0,Very Difficult,Mediation and model comparison are main forms of analysis
575,575,157,1,7/21/2015 17:55,Coder10,PSPB,2004,,Ajzen,University of Massachusetts-Amherst,Social / Personality,"Ajzen, I., Brown, T. C., & Carvajal, F. (2004). Explaining the discrepancy between intentions and actions: The case of hypothetical bias in contingent valuation. Personality and social psychology bulletin, 30(9), 1108-1121.","Original Research (i.e., any study with data that is NOT a meta-analysis)",312,1,160,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,,,,Path analysis,,,,,No,,,No,,,1,0,,99!,No,,Very Difficult,"Several types of analysis, I'd say most relevant is path analysis though"
148,148,53,1,6/17/2015 19:58,Coder10,JPSP,2003,Personality Processes and Individual Differences,Allik,University of Tartu,Cultural,"Allik, J., & McCrae, R. R. (2004). Escapable conclusions: Toomela (2003) and the universality of trait structure. Journal of Personality and Social Psychology, 87(2), 261.",Commentary / Response,NA,,,,,,,,,,,,,,NA,,,,,,NA,NA,,,No,,,
1548,1548,613,1,8/11/2015 18:58,Coder10,JPSP,2013,Personality Processes and Individual Differences,Back,University of Munster,Social / Personality,"Back, M. D., Küfner, A. C., Dufner, M., Gerlach, T. M., Rauthmann, J. F., & Denissen, J. J. (2013). Narcissistic admiration and rivalry: Disentangling the bright and dark sides of narcissism.","Original Research (i.e., any study with data that is NOT a meta-analysis)",33,1,953,0,"Correlational (i.e., IVs were measured and not manipulated)",,99!,99!,99!,Confirmatory Factor Analysis,99!,,99!,99!,NA,,,"It's complicated (if you select this, explain)",1,1,7,0,NA,0,No,99!,Neither Difficult nor Easy,Only analyses are factor analyses
1551,1551,613,1,8/11/2015 19:08,Coder10,JPSP,2013,Personality Processes and Individual Differences,Back,University of Munster,Social / Personality,"Back, M. D., Küfner, A. C., Dufner, M., Gerlach, T. M., Rauthmann, J. F., & Denissen, J. J. (2013). Narcissistic admiration and rivalry: Disentangling the bright and dark sides of narcissism.","Original Research (i.e., any study with data that is NOT a meta-analysis)",33,2,93,0,"Correlational (i.e., IVs were measured and not manipulated)",,99!,99!,1,Basic Correlation (r),99!,,99!,99!,NA,,,No,0,0,7,0,NA,0,No,99!,Moderately Difficult,Only report average correlation across 2 types of measures
1554,1554,613,1,8/11/2015 19:16,Coder10,JPSP,2013,Personality Processes and Individual Differences,Back,University of Munster,Social / Personality,"Back, M. D., Küfner, A. C., Dufner, M., Gerlach, T. M., Rauthmann, J. F., & Denissen, J. J. (2013). Narcissistic admiration and rivalry: Disentangling the bright and dark sides of narcissism.","Original Research (i.e., any study with data that is NOT a meta-analysis)",33,3,106,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,2,1,z-test (z),"z=1.92, p=.054",,,1.92,Yes,0.054,,No,63,60,7,0,NA,0,No,0,Moderately Difficult,
1558,1558,613,1,8/11/2015 19:30,Coder10,JPSP,2013,Personality Processes and Individual Differences,Back,University of Munster,Social / Personality,"Back, M. D., Küfner, A. C., Dufner, M., Gerlach, T. M., Rauthmann, J. F., & Denissen, J. J. (2013). Narcissistic admiration and rivalry: Disentangling the bright and dark sides of narcissism.","Original Research (i.e., any study with data that is NOT a meta-analysis)",33,4,510-1814,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,2,1,z-test (z),"z=10.43, p<.01",,,10.43,No,,,No,126,113,7,0,NA,0,No,0,Very Difficult,"Their ""point"" is that they found novel relationships between variables, so basically there's no main finding. It's just a bunch of correlations "
1560,1560,613,1,8/11/2015 19:41,Coder10,JPSP,2013,Personality Processes and Individual Differences,Back,University of Munster,Social / Personality,"Back, M. D., Küfner, A. C., Dufner, M., Gerlach, T. M., Rauthmann, J. F., & Denissen, J. J. (2013). Narcissistic admiration and rivalry: Disentangling the bright and dark sides of narcissism.","Original Research (i.e., any study with data that is NOT a meta-analysis)",33,5,1085,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,3,Multiple Regression (t -- for individual predictor),"beta=-.43, p<.05",,99!,99!,No,,,No,56,45,7,0,NA,0,No,0,Very Difficult,Different samples used for different measures
1563,1563,613,1,8/11/2015 19:48,Coder10,JPSP,2013,Personality Processes and Individual Differences,Back,University of Munster,Social / Personality,"Back, M. D., Küfner, A. C., Dufner, M., Gerlach, T. M., Rauthmann, J. F., & Denissen, J. J. (2013). Narcissistic admiration and rivalry: Disentangling the bright and dark sides of narcissism.","Original Research (i.e., any study with data that is NOT a meta-analysis)",33,6,202,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,3,Multiple Regression (t -- for individual predictor),"r/beta=.50, p <.05",,99!,99!,No,,,No,96,65,7,0,NA,0,No,0,Very Difficult,Yuck
1564,1564,613,1,8/11/2015 19:53,Coder10,JPSP,2013,Personality Processes and Individual Differences,Back,University of Munster,Social / Personality,"Back, M. D., Küfner, A. C., Dufner, M., Gerlach, T. M., Rauthmann, J. F., & Denissen, J. J. (2013). Narcissistic admiration and rivalry: Disentangling the bright and dark sides of narcissism.","Original Research (i.e., any study with data that is NOT a meta-analysis)",33,7,96,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,3,Multiple Regression (t -- for individual predictor),"r/beta=.40, p <.05",,99!,99!,No,,,No,108,42,7,0,NA,0,No,0,Very Difficult,I challenge someone to find a tougher paper to code than this one
1083,1083,418,1,8/7/2015 10:44,Coder10,JESP,2013,,Beer,University of Texas-Austin,Social / Personality,"Beer, J. S., Chester, D. S., & Hughes, B. L. (2013). Social threat and cognitive load magnify self-enhancement and attenuate self-deprecation. Journal of Experimental Social Psychology, 49(4), 706-711.","Original Research (i.e., any study with data that is NOT a meta-analysis)",5,1,62,11,"Experimental (i.e., all IVs were manipulated)",Within,1,1,1,t-test (t),"t(61)=3.16, p=.002",,61,3.16,Yes,0.002,,No,1,1,3,1,d=.29,0,No,0,Very Easy,
1084,1084,418,1,8/7/2015 10:49,Coder10,JESP,2013,,Beer,University of Texas-Austin,Social / Personality,"Beer, J. S., Chester, D. S., & Hughes, B. L. (2013). Social threat and cognitive load magnify self-enhancement and attenuate self-deprecation. Journal of Experimental Social Psychology, 49(4), 706-711.","Original Research (i.e., any study with data that is NOT a meta-analysis)",5,2a,136,3,"Experimental (i.e., all IVs were manipulated)",Between,4,2,1,ANOVA (F),"F(1,132)=4.72, p=.03",1,132,4.72,Yes,0.03,,No,3,2,3,1,eta-squared=.03,0,No,0,Very Easy,
1086,1086,418,1,8/7/2015 10:53,Coder10,JESP,2013,,Beer,University of Texas-Austin,Social / Personality,"Beer, J. S., Chester, D. S., & Hughes, B. L. (2013). Social threat and cognitive load magnify self-enhancement and attenuate self-deprecation. Journal of Experimental Social Psychology, 49(4), 706-711.","Original Research (i.e., any study with data that is NOT a meta-analysis)",5,2b,136,3,"Experimental (i.e., all IVs were manipulated)",Between,4,2,1,ANOVA (F),"F(1,132)=4.82, p=.03",1,132,4.82,Yes,0.03,,No,6,4,3,1,eta-squared=.04,0,No,,Very Easy,
1613,1613,639,1,8/12/2015 13:25,Coder10,JESP,2013,,Berthold,University of Zurich,Social / Personality,"Berthold, A., Leicht, C., Methner, N., & Gaum, P. (2013). Seeing the world with the eyes of the outgroup—The impact of perspective taking on the prototypicality of the ingroup relative to the outgroup. Journal of Experimental Social Psychology, 49(6), 1034-1041.","Original Research (i.e., any study with data that is NOT a meta-analysis)",1,1,86,0,"Correlational (i.e., IVs were measured and not manipulated)",Between,3,1,2,ANOVA (F),"F(2, 83) = 3.15, p < .05",2,83,3.15,No,,,No,15,11,3,1,eta-squared=.07,2,No,0,Moderately Easy,
1614,1614,639,1,8/12/2015 13:25,Coder10,JESP,2013,,Berthold,University of Zurich,Social / Personality,"Berthold, A., Leicht, C., Methner, N., & Gaum, P. (2013). Seeing the world with the eyes of the outgroup—The impact of perspective taking on the prototypicality of the ingroup relative to the outgroup. Journal of Experimental Social Psychology, 49(6), 1034-1041.","Original Research (i.e., any study with data that is NOT a meta-analysis)",1,2,55,0,"Experimental (i.e., all IVs were manipulated)",Between,2,1,2,ANOVA (F),"F(1, 54) = 4.16, p < .05",1,54,4.16,No,,,No,7,5,3,1,eta-squared=.07,0,No,0,Moderately Easy,
1615,1615,639,1,8/12/2015 13:30,Coder10,JESP,2013,,Berthold,University of Zurich,Social / Personality,"Berthold, A., Leicht, C., Methner, N., & Gaum, P. (2013). Seeing the world with the eyes of the outgroup—The impact of perspective taking on the prototypicality of the ingroup relative to the outgroup. Journal of Experimental Social Psychology, 49(6), 1034-1041.","Original Research (i.e., any study with data that is NOT a meta-analysis)",1,3,60,0,"Experimental (i.e., all IVs were manipulated)",Between,2,1,2,ANOVA (F),"F(1, 59) = 4.43, p = .04,",1,59,4.43,Yes,0.04,,No,9,7,3,1,eta-squared=.07,3,No,0,Slightly Easy,
134,134,54,1,6/17/2015 11:31,Coder10,JPSP,2004,Attitudes and Social Cognition,Blair,University of Colorado-Boulder,Social / Personality,"Blair, I. V., Judd, C. M., & Fallman, J. L. (2004). The automaticity of race and Afrocentric facial features in social judgments. Journal of personality and social psychology, 87(6), 763.","Original Research (i.e., any study with data that is NOT a meta-analysis)",187,2,71,0,"Experimental (i.e., all IVs were manipulated)",Between,6,3,1,ANOVA (F),"F(1, 69)=3.06,  p=.08.",1,69,3.06,Yes,0.08,"It's complicated (if you select this, explain)",,6,4,4,0,NA,0,No,0,Moderately Easy,
149,149,54,1,6/17/2015 20:17,Coder10,JPSP,2004,Attitudes and Social Cognition,Blair,University of Colorado-Boulder,Social / Personality,"Blair, I. V., Judd, C. M., & Fallman, J. L. (2004). The automaticity of race and Afrocentric facial features in social judgments. Journal of personality and social psychology, 87(6), 763.","Original Research (i.e., any study with data that is NOT a meta-analysis)",28,1,68,6,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Within,8,2,2,ANOVA (F),"F(1, 60)=28.91, p < .001.",1,60,28.91,No,,Yes,,17,8,4,0,NA,0,No,0,Very Difficult,"Analyses here pretty muddled, a lot going on. Difficult to code"
150,150,54,1,6/17/2015 20:26,Coder10,JPSP,2004,Attitudes and Social Cognition,Blair,University of Colorado-Boulder,Social / Personality,"Blair, I. V., Judd, C. M., & Fallman, J. L. (2004). The automaticity of race and Afrocentric facial features in social judgments. Journal of personality and social psychology, 87(6), 763.","Original Research (i.e., any study with data that is NOT a meta-analysis)",28,3,99,98,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Mixed,8,2,2,ANOVA (F),"F(2, 95)=9.07, p <.001.",2,95,9.07,No,,Yes,,15,9,4,0,NA,0,No,0,Moderately Difficult,
151,151,54,1,6/17/2015 20:32,Coder10,JPSP,2004,Attitudes and Social Cognition,Blair,University of Colorado-Boulder,Social / Personality,"Blair, I. V., Judd, C. M., & Fallman, J. L. (2004). The automaticity of race and Afrocentric facial features in social judgments. Journal of personality and social psychology, 87(6), 763.","Original Research (i.e., any study with data that is NOT a meta-analysis)",28,4,74,3,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Mixed,8,2,2,ANOVA (F),"F(1, 69)= 4.72, p < .03.",1,69,4.72,No,,Yes,,10,7,4,0,NA,0,No,0,Moderately Difficult,"The amount of reported significance tests could be low, as they don't specify which effects were not significant for certain variables."
309,309,122,1,6/29/2015 23:51,Coder10,JESP,2004,,Bornstein,The Hebrew University of Jerusalem,Social / Personality,"Bornstein, G., Kugler, T., & Ziegelmeyer, A. (2004). Individual and group decisions in the centipede game: Are groups more “rational” players?. Journal of Experimental Social Psychology, 40(5), 599-605.","Original Research (i.e., any study with data that is NOT a meta-analysis)",162,1,144,0,"Experimental (i.e., all IVs were manipulated)",Between,2,1,1,Robust rank-order test,"U=2.36, p<.01",,99!,U=2.36,No,,,No,1,1,2,0,,0,No,0,Neither Difficult nor Easy,Not sure if this type of test counts for what we should be coding
310,310,122,1,6/29/2015 23:51,Coder10,JESP,2004,,Bornstein,The Hebrew University of Jerusalem,Social / Personality,"Bornstein, G., Kugler, T., & Ziegelmeyer, A. (2004). Individual and group decisions in the centipede game: Are groups more “rational” players?. Journal of Experimental Social Psychology, 40(5), 599-605.","Original Research (i.e., any study with data that is NOT a meta-analysis)",162,2,144,0,"Experimental (i.e., all IVs were manipulated)",Between,2,1,1,Robust rank-order test,"U=1.7, p<.05",,99!,U=1.7,No,,,No,1,1,2,0,NA,0,No,0,Neither Difficult nor Easy,Not sure if this type of test counts for what we should be coding
1656,1656,663,1,8/12/2015 17:21,Coder10,Psych Science,2013,,Bornstein,Eunice Kennedy Shriver National Institute of Child Health and Human Development,Developmental,"Bornstein, M. H., Hahn, C. S., & Suwalsky, J. T. (2013). Physically developed and exploratory young infants contribute to their own long-term academic achievement. Psychological science, 0956797613479974.","Original Research (i.e., any study with data that is NOT a meta-analysis)",17,1,375,1,"Correlational (i.e., IVs were measured and not manipulated)",,99!,99!,99!,Structural Equation Modeling,99!,,99!,99!,No,,,"It's complicated (if you select this, explain)",20,19,1,0,NA,0,No,4,Very Difficult,SEM only relevant form of analysis
